Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0063640587218205,0.00344444503199209,0.131744288819174,0,0,0,3.60307372978046,0.0187833045283993,8.04052581274296E-19,4.08447495570179E-18,0.0161653640601633,4.64404314070441E-07,0.0131334918251515,0,0,0,0,0,0,package://wholeBodyURDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/base_link.STL,,Copy of Part28^AiRobotURDF-3;Copy of Part28^AiRobotURDF-4;Copy of Part28^AiRobotURDF-2;Copy of Part28^AiRobotURDF-1;Copy of Copy of Copy of pipe280x15^AiRobotURDF-1;Copy of Copy of Copy of pipe280x15^AiRobotURDF-3;Copy of Copy of Copy of pipe280x15^AiRobotURDF-4;Copy of Copy of Copy of pipe280x15^AiRobotURDF-2;Copy of Copy of Copy of pipe180x10^AiRobotURDF-1;Copy of Copy of Copy of pipe180x10^AiRobotURDF-2;Copy of Copy of Copy of pipe180x10^AiRobotURDF-3;Copy of Copy of Copy of Copy of pipe180x10^AiRobotURDF-1;Copy of Copy of Copy of pipe180x10^AiRobotURDF-4;Copy of LiPoBattery^AiRobotURDF-1;Copy of Copy of yBar^AiRobotURDF-1;Copy of Copy of yBar2^AiRobotURDF-1;Copy of Copy of Part20^AiRobotURDF-1;Copy of Copy of yBar^AiRobotURDF-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
st_fr,-5.55111512312578E-17,1.38777878078145E-17,0.0517722817308295,0,0,0,0.221804775243313,0.000211251147171327,1.61608127994414E-19,1.3964782722507E-21,0.000195922267849405,-2.06510424102861E-20,0.000272151766439536,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_fr.STL,1,1,1,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_fr.STL,,Copy of Part29^AiRobotURDF-3,Origin_st_fr,Axis_st_fr,st_fr,continuous,0.177999999999999,-0.177999999999995,0.0269999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wh_fr,0,2.77555756156289E-17,1.38777878078145E-17,0,0,0,0.764764182848667,0.000394618318349911,0,-2.69756475630885E-18,0.000394618318349911,-9.23310090821401E-19,0.000674522009272522,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_fr.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_fr.STL,,Copy of Part30^AiRobotURDF-3,Origin_wh_fr,Axis_wh_fr,wh_fr,continuous,0,0,0.015,-1.5707963267949,-0.316982240676282,3.14159265358979,st_fr,0,0,1,,,,,,,,,,,,
st_fl,0,5.55111512312578E-17,0.0517722817308295,0,0,0,0.221804775243313,0.000211251147171327,1.64918956145697E-19,-6.94850311231198E-21,0.000195922267849405,-1.6213539128053E-20,0.000272151766439536,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_fl.STL,1,1,1,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_fl.STL,,Copy of Part29^AiRobotURDF-4,Origin_st_fl,Axis_st_fl,st_fl,continuous,0.177999999999997,0.178000000000005,0.0269999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wh_fl,4.16333634234434E-17,-1.11022302462516E-16,-5.55111512312578E-17,0,0,0,0.764764182848668,0.000394618318349912,0,-5.76769788137037E-19,0.000394618318349912,2.82484500819834E-18,0.000674522009272523,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_fl.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_fl.STL,,Copy of Part30^AiRobotURDF-4,Origin_wh_fl,Axis_wh_fl,wh_fl,continuous,0,0,0.015,-1.5707963267949,1.37893541128007,3.14159265358979,st_fl,0,0,1,,,,,,,,,,,,
st_bl,1.01307850997046E-15,-2.22044604925031E-16,0.0517722817308294,0,0,0,0.221804775243313,0.000211251147171327,1.73641087609267E-19,2.22370021077419E-21,0.000195922267849405,-8.10200439331161E-20,0.000272151766439536,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_bl.STL,1,1,1,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_bl.STL,,Copy of Part29^AiRobotURDF-2,Origin_st_bl,Axis_st_bl,st_bl,continuous,-0.178000000000007,0.178000000000001,0.0269999999999999,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wh_bl,4.85722573273506E-17,1.01307850997046E-15,1.66533453693773E-16,0,0,0,0.764764182848668,0.000394618318349911,5.9292306307801E-21,3.25200755217582E-20,0.000394618318349911,2.91345943486874E-18,0.000674522009272522,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_bl.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_bl.STL,,Copy of Part30^AiRobotURDF-2,Origin_wh_bl,Axis_wh_bl,wh_bl,continuous,0,0,0.015,1.57079632679493,1.5497746785967,0,st_bl,0,0,1,,,,,,,,,,,,
st_br,-4.16333634234434E-17,0,0.0517722817308294,0,0,0,0.221804775243313,0.000211251147171327,1.54955972003385E-19,-1.88217327241839E-20,0.000195922267849405,-5.1966875772215E-20,0.000272151766439536,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_br.STL,1,1,1,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/st_br.STL,,Copy of Part29^AiRobotURDF-1,Origin_st_br,Axis_st_br,st_br,continuous,-0.178000000000001,-0.177999999999999,0.0269999999999998,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wh_br,0,2.77555756156289E-17,-1.38777878078145E-17,0,0,0,0.764764182848667,0.000394618318349911,0,-2.39690680958223E-18,0.000394618318349911,-1.41128220680051E-18,0.000674522009272522,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_br.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/wh_br.STL,,Copy of Part30^AiRobotURDF-1,Origin_wh_br,Axis_wh_br,wh_br,continuous,0,0,0.015,-1.5707963267949,-0.57401915441884,3.14159265358979,st_br,0,0,1,,,,,,,,,,,,
arm_y,0.0609996816961276,0.0276969527606289,-0.0419922652659061,0,0,0,0.726470638495085,0.000427256684409531,-4.94499408650023E-06,-1.47689404175355E-05,0.000915984224843616,-3.46118593731465E-05,0.000755880517298889,0,0,0,0,0,0,package://wholeBodyURDF/meshes/arm_y.STL,1,1,1,1,0,0,0,0,0,0,package://wholeBodyURDF/meshes/arm_y.STL,,Copy of Copy of Copy of Copy of Part40^AiRobotURDF-1;Copy of Copy of Part40^AiRobotURDF-1;Copy of Copy of Copy of Part40^AiRobotURDF-1;Copy of Copy of Part41^AiRobotURDF-1;Copy of Copy of Copy of Copy of Copy (2) of Part30^AiRobotURDF-1;Copy of Copy of Copy of Copy of Copy (2) of Part30^AiRobotURDF-2;Copy of Copy of Part41^AiRobotURDF-2,origin_arm_y,axis_arm_y,arm_y,prismatic,-0.01,-0.03,0.238,1.5708,0,0,base_link,0,-1,0,0,0.628,0,0.24,,,,,,,,
